Strain;Species;SamplingSite
MH241067.1 Mus spretus voucher 18401 cytochrome b (Cytb) gene;Mus spretus;Spain: Ibiza
MH241066.1 Mus spretus voucher 17632 cytochrome b (Cytb) gene;Mus spretus;Spain: Barcelone
MH241060.1 Mus spretus voucher 10249 cytochrome b (Cytb) gene;Mus spretus;Spain: Cubillos
KM581716.1 Apodemus sylvaticus voucher Murta3 cytochrome b (Cytb) gene;Apodemus sylvaticus;Portugal
KM581715.1 Apodemus sylvaticus voucher Murta2 cytochrome b (Cytb) gene;Apodemus sylvaticus;Portugal
MK089323.1 Mus spretus haplotype 26 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089322.1 Mus spretus haplotype 25 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089321.1 Mus spretus haplotype 24 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089320.1 Mus spretus haplotype 23 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089319.1 Mus spretus haplotype 22 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089318.1 Mus spretus haplotype 21 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089317.1 Mus spretus haplotype 20 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089316.1 Mus spretus haplotype 19 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089315.1 Mus spretus haplotype 18 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089314.1 Mus spretus haplotype 17 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089313.1 Mus spretus haplotype 16 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089312.1 Mus spretus haplotype 15 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089311.1 Mus spretus haplotype 14 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089310.1 Mus spretus haplotype 13 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089309.1 Mus spretus haplotype 12 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089308.1 Mus spretus haplotype 11 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089307.1 Mus spretus haplotype 10 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089306.1 Mus spretus haplotype 9 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089305.1 Mus spretus haplotype 8 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089304.1 Mus spretus haplotype 7 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089303.1 Mus spretus haplotype 6 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089302.1 Mus spretus haplotype 5 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089301.1 Mus spretus haplotype 4 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089300.1 Mus spretus haplotype 3 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089299.1 Mus spretus haplotype 2 cytochrome b (Cytb) gene;Mus spretus;Portugal
MK089298.1 Mus spretus haplotype 1 cytochrome b (Cytb) gene;Mus spretus;Portugal
MH241065.1 Mus spretus voucher 16861 cytochrome b (Cytb) gene;Mus spretus;Portugal: Santarem
